"BYDay","Daily_P","Date"
218,0.00792626257419646,2013-01-05
219,0.00761207397806297,2013-01-06
220,0.00730305086544775,2013-01-07
221,0.00699991092186568,2013-01-08
222,0.00670328301089875,2013-01-09
223,0.00641370846689657,2013-01-10
224,0.00613164334799385,2013-01-11
225,0.00585746155618681,2013-01-12
226,0.00559145872040066,2013-01-13
227,0.00533385673024648,2013-01-14
228,0.00508480880263428,2013-01-15
229,0.00484440496062718,2013-01-16
230,0.00461267780385864,2013-01-17
231,0.00438960845238628,2013-01-18
232,0.00417513255084532,2013-01-19
233,0.00396914622695682,2013-01-20
234,0.00377151190754999,2013-01-21
235,0.003582063905945,2013-01-22
236,0.00340061370645268,2013-01-23
237,0.00322695488450525,2013-01-24
238,0.00306086761415791,2013-01-25
239,0.00290212272802374,2013-01-26
240,0.00275048530777084,2013-01-27
241,0.0026057177958,2013-01-28
242,0.00246758263034471,2013-01-29
243,0.00233584441675532,2013-01-30
244,0.00221027165694851,2013-01-31
245,0.00209063806678369,2013-02-01
246,0.00197672351737794,2013-02-02
247,0.00186831464105288,2013-02-03
248,0.00176520514573145,2013-02-04
249,0.00166719588322432,2013-02-05
250,0.00157409471705996,2013-02-06
251,0.00148571623444779,2013-02-07
252,0.00140188134477518,2013-02-08
253,0.00132241680390289,2013-02-09
254,0.00124715469962664,2013-02-10
255,0.00117593192921144,2013-02-11
256,0.00110858969507142,2013-02-12
257,0.00104497303965068,2013-02-13
258,0.000984930435533652,2013-02-14
259,0.000928313441937132,2013-02-15
260,0.000874976434147784,2013-02-16
261,0.000824776408286641,2013-02-17
262,0.000777572860096069,2013-02-18
263,0.000733227733322515,2013-02-19
264,0.000691605430751093,2013-02-20
265,0.000652572879052795,2013-02-21
266,0.000615999637326244,2013-02-22
267,0.000581758038527016,2013-02-23
268,0.000549723352834721,2013-02-24
269,0.000519773962352,2013-02-25
270,0.000491791537290009,2013-02-26
271,0.0004656612048931,2013-02-27
272,0.000441271703708019,2013-02-28
273,0.000418515517325405,2013-03-01
274,0.000397288983330982,2013-03-02
275,0.000377492374822336,2013-03-03
276,0.00035902995340388,2013-03-04
277,0.000341809994005453,2013-03-05
278,0.000325744783128239,2013-03-06
279,0.000310750593165907,2013-03-07
280,0.000296747636252443,2013-03-08
281,0.000283660001636589,2013-03-09
282,0.000271415580873848,2013-03-10
283,0.000259945985169557,2013-03-11
284,0.000249186459019534,2013-03-12
285,0.000239075793905599,2013-03-13
286,0.000229556245246184,2013-03-14
287,0.000220573455116253,2013-03-15
288,0.000212076382477932,2013-03-16
289,0.000204017241846526,2013-03-17
290,0.000196351450498083,2013-03-18
291,0.00018903758354384,2013-03-19
292,0.000182037335488993,2013-03-20
293,0.000175315486288504,2013-03-21
294,0.000168839869434542,2013-03-22
295,0.000162581339275672,2013-03-23
296,0.00015651373458653,2013-03-24
297,0.000150613835380837,2013-03-25
298,0.000144861310085769,2013-03-26
299,0.000139238650461061,2013-03-27
300,0.000133731092035512,2013-03-28
301,0.000128326518326011,2013-03-29
302,0.00012301534767572,2013-03-30
